sequence_id,frame_id,candidate_count,full_prediction_id,full_gt_id,full_mask_depth,nearest_min_mask_depth,nearest_set_size,nearest_set_ids,full_visibility,nearest_set_max_visibility,full_confidence,nearest_set_max_confidence,full_center_score,nearest_set_max_center_score,delta_depth_mm,delta_visibility,delta_confidence,delta_center
406,1600938553416781,8,1,4062851,751.0,744.0,1,0,0.7803203055712886,0.7977008486258943,0.91274154,0.93602008,0.7032721099895664,0.4183400231707591,7.0,-0.01738054305460568,-0.02327854000000007,0.2849320868188073
406,1600938553483441,8,0,4062851,747.0,739.0,1,1,0.7907081209687932,0.8240653681029678,0.92451143,0.92323446,0.783712987870262,0.42378624971278683,8.0,-0.03335724713417465,0.001276970000000044,0.35992673815747517
406,1600938553616762,7,0,4062851,742.0,740.0,1,1,0.7783675235637311,0.8423303664393899,0.9129464,0.90908116,0.8484426870310259,0.4235955951298734,2.0,-0.06396284287565879,0.003865239999999992,0.4248470919011525
406,1600938553816741,7,0,4062852,738.0,735.0,1,5,0.8446795963064042,0.7098826974106999,0.93708253,0.75068998,0.40344507342264535,0.5128435886051638,3.0,0.13479689889570434,0.18639255,-0.10939851518251842
406,1600938553883401,7,0,4062852,736.0,731.0,1,4,0.8437830883716763,0.6522342301501185,0.92395645,0.76860774,0.3931050867721548,0.4792476638137672,5.0,0.19154885822155776,0.15534871000000006,-0.08614257704161243
406,1600938553950060,5,0,4062852,737.0,731.0,1,4,0.8406930430823288,0.6659960810789144,0.9372831,0.56882727,0.3818167399346219,0.4498441128242268,6.0,0.17469696200341445,0.36845583000000004,-0.06802737288960492
407,1600938556949767,6,5,4074915,672.0,671.0,1,1,0.7080034285432906,0.43813129030018194,0.5978514,0.78712934,0.35884442009604695,0.3128598744525595,1.0,0.26987213824310863,-0.18927793999999998,0.04598454564348742
407,1600938557016428,7,2,4074915,676.0,672.0,1,3,0.4921889089924537,0.420814216429776,0.75311995,0.75080264,0.4059102199408392,0.3217255676453929,4.0,0.0713746925626777,0.002317310000000017,0.0841846522954463
407,1600938557083089,6,4,4074915,681.0,674.0,1,1,0.6562421800447876,0.4499635596644741,0.64790356,0.77111334,0.4314557140965708,0.32646412284379356,7.0,0.20627862038031353,-0.12320977999999994,0.10499159125277724
407,1600938557283072,9,5,4074915,681.0,663.0,1,4,0.5532569515707348,0.4732091251611064,0.71376759,0.77797502,0.5908295752481655,0.34230401751421113,18.0,0.08004782640962843,-0.06420742999999995,0.24852555773395435
