sequence,frame_id,gt_objects,yolo_detections,conf_pass,conf_fail,matched_candidate_count,selection_candidate_count,unmatched_high_conf,iou_below_0_5,no_gt_overlap,greedy_conflict,unmatched_high_conf_rate
404,1600938546084253,7,7,5,2,4,4,1,1,0,0,0.2
404,1600938546150912,7,9,4,5,3,3,1,1,0,0,0.25
404,1600938546217573,7,7,5,2,3,3,2,1,1,0,0.4
404,1600938546284234,7,8,5,3,4,4,1,0,1,0,0.2
404,1600938546350893,6,14,5,9,4,4,1,1,0,0,0.2
404,1600938546417554,6,9,4,5,4,4,0,0,0,0,0.0
404,1600938546484215,6,9,5,4,4,4,1,0,1,0,0.2
404,1600938546550876,6,11,5,6,4,4,1,0,1,0,0.2
404,1600938546617535,8,21,5,16,4,4,1,0,1,0,0.2
404,1600938546684195,9,12,5,7,5,5,0,0,0,0,0.0
404,1600938546750855,9,17,6,11,6,6,0,0,0,0,0.0
404,1600938546817514,10,14,8,6,6,6,2,0,2,0,0.25
404,1600938546884173,11,13,9,4,7,7,2,0,2,0,0.2222222222222222
404,1600938546950833,11,18,9,9,8,8,1,1,0,0,0.1111111111111111
404,1600938547017492,11,14,11,3,7,7,4,0,4,0,0.36363636363636365
404,1600938547084151,10,13,9,4,5,5,4,0,4,0,0.4444444444444444
404,1600938547150811,9,11,9,2,5,5,4,0,4,0,0.4444444444444444
404,1600938547217470,9,13,11,2,5,5,6,0,6,0,0.5454545454545454
405,1600938547284129,9,13,9,4,6,6,3,1,2,0,0.3333333333333333
405,1600938547350789,9,15,8,7,6,6,2,1,1,0,0.25
405,1600938547417448,9,13,9,4,7,7,2,0,1,1,0.2222222222222222
405,1600938547484107,10,9,8,1,7,7,1,0,1,0,0.125
405,1600938547550767,10,13,8,5,6,6,2,1,1,0,0.25
405,1600938547617427,10,13,9,4,7,7,2,0,2,0,0.2222222222222222
405,1600938547684085,10,12,8,4,7,6,1,0,0,1,0.125
405,1600938547750744,11,12,8,4,7,7,1,0,0,1,0.125
405,1600938547817404,11,11,8,3,8,8,0,0,0,0,0.0
405,1600938547884062,11,13,8,5,7,7,1,1,0,0,0.125
405,1600938547950722,11,12,9,3,8,8,1,0,0,1,0.1111111111111111
405,1600938548017382,11,9,8,1,8,8,0,0,0,0,0.0
405,1600938548084040,11,12,8,4,8,8,0,0,0,0,0.0
405,1600938548150699,11,9,8,1,8,8,0,0,0,0,0.0
405,1600938548217359,10,13,8,5,7,7,1,1,0,0,0.125
405,1600938548284017,9,10,8,2,8,8,0,0,0,0,0.0
405,1600938548350676,9,11,8,3,8,8,0,0,0,0,0.0
405,1600938548417336,9,12,7,5,7,7,0,0,0,0,0.0
405,1600938548483994,8,12,5,7,5,5,0,0,0,0,0.0
405,1600938548550654,8,7,6,1,6,6,0,0,0,0,0.0
405,1600938548617313,7,9,6,3,6,6,0,0,0,0,0.0
405,1600938548683973,7,7,6,1,6,6,0,0,0,0,0.0
405,1600938548750633,7,8,6,2,5,5,1,1,0,0,0.16666666666666666
405,1600938548817294,7,7,6,1,6,6,0,0,0,0,0.0
405,1600938548883955,7,8,5,3,5,5,0,0,0,0,0.0
405,1600938548950614,7,8,6,2,6,6,0,0,0,0,0.0
405,1600938549017275,7,9,6,3,6,6,0,0,0,0,0.0
405,1600938549083935,7,8,6,2,6,6,0,0,0,0,0.0
405,1600938549150595,7,7,6,1,6,6,0,0,0,0,0.0
405,1600938549217256,7,7,6,1,6,6,0,0,0,0,0.0
405,1600938549283917,7,6,6,0,6,6,0,0,0,0,0.0
405,1600938549350576,7,12,6,6,6,6,0,0,0,0,0.0
405,1600938549417237,8,9,7,2,7,7,0,0,0,0,0.0
405,1600938549483898,8,11,8,3,8,7,0,0,0,0,0.0
405,1600938549550557,8,13,9,4,8,8,1,0,1,0,0.1111111111111111
405,1600938549617218,8,9,8,1,8,8,0,0,0,0,0.0
405,1600938549683879,8,10,9,1,8,7,1,0,1,0,0.1111111111111111
405,1600938549750538,9,12,8,4,7,7,1,0,1,0,0.125
405,1600938549817198,11,12,9,3,9,8,0,0,0,0,0.0
405,1600938549883859,12,16,11,5,8,8,3,1,2,0,0.2727272727272727
406,1600938551350383,11,20,10,10,9,8,1,0,1,0,0.1
406,1600938551417043,12,17,10,7,7,7,3,1,2,0,0.3
406,1600938551483703,11,20,9,11,7,7,2,2,0,0,0.2222222222222222
406,1600938551550363,11,14,10,4,8,8,2,0,2,0,0.2
406,1600938551617024,10,20,7,13,7,7,0,0,0,0,0.0
406,1600938551683679,10,15,6,9,6,6,0,0,0,0,0.0
406,1600938551750335,10,17,8,9,5,5,3,1,2,0,0.375
406,1600938551816991,10,15,7,8,6,6,1,1,0,0,0.14285714285714285
406,1600938551883646,12,22,8,14,6,6,2,1,1,0,0.25
406,1600938551950302,11,17,10,7,7,7,3,1,2,0,0.3
406,1600938552016958,12,14,9,5,9,9,0,0,0,0,0.0
406,1600938552083612,12,11,8,3,8,8,0,0,0,0,0.0
406,1600938552150268,12,13,9,4,9,9,0,0,0,0,0.0
406,1600938552216924,13,15,11,4,11,11,0,0,0,0,0.0
406,1600938552283579,13,12,10,2,10,10,0,0,0,0,0.0
406,1600938552350234,13,16,12,4,12,12,0,0,0,0,0.0
406,1600938552416890,13,15,8,7,8,8,0,0,0,0,0.0
406,1600938552483544,13,13,10,3,10,10,0,0,0,0,0.0
406,1600938552550200,14,11,10,1,10,9,0,0,0,0,0.0
406,1600938552616855,14,11,10,1,10,10,0,0,0,0,0.0
406,1600938552683516,14,14,10,4,10,10,0,0,0,0,0.0
406,1600938552750176,14,19,12,7,12,12,0,0,0,0,0.0
406,1600938552816836,14,17,14,3,13,13,1,0,0,1,0.07142857142857142
406,1600938552883497,14,13,11,2,11,11,0,0,0,0,0.0
406,1600938552950157,13,14,13,1,13,13,0,0,0,0,0.0
406,1600938553016818,12,13,13,0,12,12,1,0,0,1,0.07692307692307693
406,1600938553083478,12,12,12,0,12,12,0,0,0,0,0.0
406,1600938553150138,12,14,11,3,11,11,0,0,0,0,0.0
406,1600938553216799,12,13,11,2,11,11,0,0,0,0,0.0
406,1600938553283460,13,13,11,2,10,10,1,1,0,0,0.09090909090909091
406,1600938553350120,12,11,10,1,9,9,1,1,0,0,0.1
406,1600938553416781,11,13,8,5,8,8,0,0,0,0,0.0
406,1600938553483441,11,11,8,3,8,7,0,0,0,0,0.0
406,1600938553550101,11,9,8,1,8,8,0,0,0,0,0.0
406,1600938553616762,11,10,7,3,7,6,0,0,0,0,0.0
406,1600938553683422,11,9,7,2,7,7,0,0,0,0,0.0
406,1600938553750082,11,10,8,2,8,8,0,0,0,0,0.0
406,1600938553816741,11,9,7,2,7,7,0,0,0,0,0.0
406,1600938553883401,11,10,7,3,7,7,0,0,0,0,0.0
406,1600938553950060,10,8,5,3,5,5,0,0,0,0,0.0
407,1600938556483142,8,23,5,18,4,4,1,1,0,0,0.2
407,1600938556549802,9,24,10,14,6,6,4,2,1,1,0.4
407,1600938556616462,9,19,7,12,5,5,2,1,1,0,0.2857142857142857
407,1600938556683124,9,15,9,6,5,5,4,2,1,1,0.4444444444444444
407,1600938556749784,9,17,9,8,7,6,2,0,1,1,0.2222222222222222
407,1600938556816445,9,24,8,16,6,6,2,1,1,0,0.25
407,1600938556883106,9,19,9,10,5,5,4,1,1,2,0.4444444444444444
407,1600938556949767,9,19,11,8,6,6,5,3,1,1,0.45454545454545453
407,1600938557016428,9,15,9,6,7,7,2,0,1,1,0.2222222222222222
407,1600938557083089,12,20,11,9,6,6,5,2,2,1,0.45454545454545453
407,1600938557149750,12,18,13,5,8,8,5,2,1,2,0.38461538461538464
407,1600938557216411,12,17,10,7,8,8,2,1,0,1,0.2
407,1600938557283072,12,22,9,13,9,9,0,0,0,0,0.0
407,1600938557349733,12,17,8,9,8,8,0,0,0,0,0.0
407,1600938557416394,12,27,11,16,8,8,3,1,1,1,0.2727272727272727
407,1600938557483056,14,19,9,10,9,9,0,0,0,0,0.0
407,1600938557549717,14,27,11,16,10,9,1,0,1,0,0.09090909090909091
407,1600938557616378,16,28,11,17,10,9,1,1,0,0,0.09090909090909091
407,1600938557683039,16,29,12,17,11,10,1,0,0,1,0.08333333333333333
407,1600938557749700,16,25,13,12,11,10,2,0,2,0,0.15384615384615385
407,1600938557816360,15,27,10,17,10,9,0,0,0,0,0.0
407,1600938557883021,15,23,12,11,11,11,1,0,1,0,0.08333333333333333
407,1600938557949682,15,21,11,10,10,10,1,1,0,0,0.09090909090909091
407,1600938558016342,15,22,13,9,11,11,2,2,0,0,0.15384615384615385
407,1600938558083003,15,25,14,11,12,12,2,1,0,1,0.14285714285714285
407,1600938558149664,15,25,12,13,12,12,0,0,0,0,0.0
407,1600938558216324,15,26,12,14,12,12,0,0,0,0,0.0
407,1600938558282985,15,23,13,10,11,11,2,1,1,0,0.15384615384615385
407,1600938558349646,15,28,13,15,12,11,1,1,0,0,0.07692307692307693
407,1600938558416306,14,26,13,13,10,8,3,3,0,0,0.23076923076923078
407,1600938558482967,14,23,14,9,12,12,2,2,0,0,0.14285714285714285
407,1600938558549628,12,21,15,6,12,11,3,3,0,0,0.2
407,1600938558616289,12,24,16,8,12,12,4,3,0,1,0.25
407,1600938558682949,12,25,15,10,11,10,4,4,0,0,0.26666666666666666
407,1600938558749610,12,18,12,6,10,9,2,2,0,0,0.16666666666666666
407,1600938558816270,12,13,13,0,10,10,3,2,1,0,0.23076923076923078
407,1600938558882931,12,20,11,9,10,10,1,1,0,0,0.09090909090909091
407,1600938558949592,12,15,10,5,9,6,1,1,0,0,0.1
407,1600938559016252,11,10,8,2,7,5,1,1,0,0,0.125
407,1600938559082912,8,12,8,4,7,5,1,0,1,0,0.125
408,1600938560549420,12,19,10,9,9,8,1,1,0,0,0.1
408,1600938560616079,12,19,13,6,7,7,6,3,1,2,0.46153846153846156
408,1600938560682739,12,17,13,4,7,6,6,2,1,3,0.46153846153846156
408,1600938560749397,11,23,14,9,7,6,7,2,1,4,0.5
408,1600938560816057,11,17,9,8,8,5,1,0,1,0,0.1111111111111111
408,1600938560882717,10,15,10,5,8,4,2,0,1,1,0.2
408,1600938560949375,10,10,9,1,8,6,1,0,1,0,0.1111111111111111
408,1600938561016034,9,12,8,4,6,5,2,1,1,0,0.25
408,1600938561082694,9,7,7,0,7,6,0,0,0,0,0.0
408,1600938561149352,9,9,8,1,6,5,2,0,1,1,0.25
408,1600938561216011,8,11,7,4,6,5,1,0,0,1,0.14285714285714285
408,1600938561282671,8,10,7,3,6,5,1,0,0,1,0.14285714285714285
408,1600938561349329,7,7,7,0,6,6,1,0,0,1,0.14285714285714285
408,1600938561415988,7,11,8,3,6,6,2,0,2,0,0.25
408,1600938561482648,8,8,7,1,6,6,1,0,1,0,0.14285714285714285
408,1600938561549306,8,8,6,2,6,5,0,0,0,0,0.0
408,1600938561615965,8,15,8,7,6,6,2,0,2,0,0.25
408,1600938561682626,8,15,11,4,6,6,5,0,5,0,0.45454545454545453
408,1600938561749287,8,14,11,3,7,5,4,0,4,0,0.36363636363636365
408,1600938561815947,8,11,8,3,7,6,1,0,1,0,0.125
408,1600938561882608,8,15,11,4,7,5,4,1,3,0,0.36363636363636365
408,1600938561949268,8,14,12,2,6,5,6,1,5,0,0.5
408,1600938562015928,8,16,12,4,7,7,5,2,3,0,0.4166666666666667
408,1600938562082589,8,14,10,4,6,5,4,1,3,0,0.4
408,1600938562149250,8,13,10,3,6,6,4,1,3,0,0.4
408,1600938562215910,8,17,10,7,7,7,3,1,2,0,0.3
408,1600938562282571,8,14,11,3,6,6,5,1,4,0,0.45454545454545453
408,1600938562349232,8,19,11,8,7,6,4,1,3,0,0.36363636363636365
408,1600938562415892,8,19,11,8,7,7,4,1,3,0,0.36363636363636365
408,1600938562482553,8,20,9,11,6,6,3,2,1,0,0.3333333333333333
408,1600938562549214,8,16,8,8,5,5,3,2,1,0,0.375
408,1600938562615874,9,18,9,9,6,6,3,2,1,0,0.3333333333333333
408,1600938562682535,8,21,10,11,6,6,4,2,1,1,0.4
408,1600938562749196,9,26,9,17,7,7,2,0,1,1,0.2222222222222222
408,1600938562815857,9,14,10,4,8,8,2,1,1,0,0.2
408,1600938562882516,10,17,9,8,8,8,1,0,1,0,0.1111111111111111
408,1600938562949177,9,18,10,8,9,9,1,0,1,0,0.1
408,1600938563015838,9,17,10,7,8,7,2,1,1,0,0.2
408,1600938563082498,9,14,9,5,8,7,1,1,0,0,0.1111111111111111
409,1600938563149159,10,15,10,5,9,9,1,1,0,0,0.1
409,1600938563215820,11,16,11,5,10,10,1,1,0,0,0.09090909090909091
409,1600938563282480,11,17,12,5,10,10,2,2,0,0,0.16666666666666666
409,1600938563349141,11,24,11,13,10,10,1,1,0,0,0.09090909090909091
409,1600938563415802,11,17,11,6,9,9,2,2,0,0,0.18181818181818182
409,1600938563482462,11,18,10,8,9,9,1,1,0,0,0.1
409,1600938563549123,11,17,11,6,10,10,1,0,0,1,0.09090909090909091
409,1600938563615784,11,13,10,3,7,7,3,3,0,0,0.3
409,1600938563682444,9,13,8,5,8,8,0,0,0,0,0.0
409,1600938563749105,9,14,8,6,8,8,0,0,0,0,0.0
409,1600938563815766,8,13,8,5,5,4,3,3,0,0,0.375
409,1600938563882426,7,13,6,7,6,5,0,0,0,0,0.0
409,1600938563949086,6,9,7,2,6,5,1,0,1,0,0.14285714285714285
409,1600938564015747,6,10,7,3,6,6,1,0,1,0,0.14285714285714285
409,1600938564082407,6,13,6,7,5,4,1,1,0,0,0.16666666666666666
409,1600938564149068,5,7,4,3,4,4,0,0,0,0,0.0
409,1600938564215729,5,6,4,2,4,3,0,0,0,0,0.0
409,1600938564282389,5,12,4,8,4,3,0,0,0,0,0.0
409,1600938564349050,5,12,6,6,4,3,2,1,1,0,0.3333333333333333
409,1600938564415711,5,7,4,3,4,3,0,0,0,0,0.0
409,1600938564482371,5,10,6,4,4,3,2,0,2,0,0.3333333333333333
409,1600938564549031,5,9,4,5,4,3,0,0,0,0,0.0
409,1600938564615692,5,12,5,7,4,3,1,0,1,0,0.2
409,1600938564682353,5,11,6,5,4,3,2,0,2,0,0.3333333333333333
409,1600938564749013,5,10,5,5,4,3,1,0,1,0,0.2
409,1600938564815674,5,16,4,12,4,3,0,0,0,0,0.0
409,1600938564882336,5,14,4,10,4,3,0,0,0,0,0.0
409,1600938564948996,6,13,6,7,6,5,0,0,0,0,0.0
409,1600938565015657,6,10,6,4,5,5,1,0,1,0,0.16666666666666666
409,1600938565082318,6,14,8,6,6,6,2,0,2,0,0.25
409,1600938565148978,6,10,8,2,6,6,2,0,2,0,0.25
409,1600938565215639,6,16,7,9,5,5,2,2,0,0,0.2857142857142857
409,1600938565282301,6,12,8,4,5,5,3,2,1,0,0.375
409,1600938565348961,6,13,6,7,5,5,1,1,0,0,0.16666666666666666
409,1600938565415622,6,13,7,6,5,5,2,1,1,0,0.2857142857142857
409,1600938565482283,6,14,6,8,5,5,1,1,0,0,0.16666666666666666
409,1600938565548945,6,11,6,5,5,5,1,0,1,0,0.16666666666666666
409,1600938565615605,6,10,5,5,5,5,0,0,0,0,0.0
409,1600938565682263,6,13,8,5,5,5,3,0,3,0,0.375
409,1600938565748920,6,10,6,4,5,5,1,0,1,0,0.16666666666666666
