epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,4445.35,0.7403,0.4025,0.85976,0.80936,0.60105,0.65064,0.45594,1.16586,0.92622,1.09313,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4538.55,0.73819,0.39962,0.85723,0.80974,0.60109,0.65194,0.4564,1.1663,0.93022,1.0915,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4632.5,0.73533,0.39883,0.85773,0.8063,0.59606,0.64492,0.4529,1.16174,0.94872,1.08776,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4725.14,0.72993,0.39576,0.85575,0.82043,0.58773,0.64679,0.45509,1.16061,0.94005,1.08734,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4818.5,0.72216,0.39144,0.85605,0.81545,0.59331,0.64671,0.45557,1.1569,0.951,1.08648,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4911.78,0.72472,0.39249,0.85472,0.8158,0.59176,0.64577,0.45273,1.1697,0.945,1.09315,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5005.53,0.71995,0.38944,0.85383,0.81047,0.59854,0.64599,0.45417,1.16525,0.94678,1.0894,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5098.65,0.71652,0.38859,0.85401,0.82195,0.59221,0.64737,0.45656,1.15692,0.93308,1.08406,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5191.92,0.71566,0.38669,0.85202,0.8241,0.59458,0.65119,0.4562,1.17039,0.91813,1.09407,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5285.52,0.71055,0.38461,0.85131,0.81106,0.59027,0.63922,0.44891,1.17358,0.95971,1.09541,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
